,Country,Year,Female parliament members in %,IndexValueDecisionMakers
57853,France,2014,0.25,0.5
57857,France,2015,0.26,0.52
57861,France,2016,0.26,0.52
57865,France,2017,0.26,0.52
57869,France,2018,0.36,0.72
57873,France,2019,0.37,0.74
57877,France,2020,0.37,0.74
57881,France,2021,0.38,0.76
57885,France,2022,0.39,0.78
59169,Croatia,2007,0.22,0.44
59172,Croatia,2008,0.22,0.44
59176,Croatia,2009,0.22,0.44
59180,Croatia,2010,0.24,0.48
59184,Croatia,2011,0.26,0.52
59188,Croatia,2012,0.24,0.48
59192,Croatia,2013,0.26,0.52
59196,Croatia,2014,0.24,0.48
59200,Croatia,2015,0.26,0.52
59204,Croatia,2016,0.15,0.3
59208,Croatia,2017,0.18,0.36
59212,Croatia,2018,0.19,0.38
59216,Croatia,2019,0.2,0.4
59220,Croatia,2020,0.18,0.36
59224,Croatia,2021,0.31,0.62
59228,Croatia,2022,0.32,0.64
59937,Hungary,2007,0.11,0.22
59940,Hungary,2008,0.11,0.22
59944,Hungary,2009,0.11,0.22
59948,Hungary,2010,0.11,0.22
59952,Hungary,2011,0.09,0.18
59956,Hungary,2012,0.09,0.18
59960,Hungary,2013,0.09,0.18
59964,Hungary,2014,0.09,0.18
59968,Hungary,2015,0.1,0.2
59972,Hungary,2016,0.1,0.2
59976,Hungary,2017,0.1,0.2
59980,Hungary,2018,0.1,0.2
59984,Hungary,2019,0.13,0.26
59988,Hungary,2020,0.12,0.24
59992,Hungary,2021,0.13,0.26
59996,Hungary,2022,0.13,0.26
60838,Ireland,2007,0.14,0.28
60841,Ireland,2008,0.16,0.32
60845,Ireland,2009,0.15,0.3
60849,Ireland,2010,0.16,0.32
60853,Ireland,2011,0.16,0.32
60857,Ireland,2012,0.19,0.38
60861,Ireland,2013,0.19,0.38
60865,Ireland,2014,0.2,0.4
60869,Ireland,2015,0.2,0.4
60873,Ireland,2016,0.2,0.4
60877,Ireland,2017,0.24,0.48
60881,Ireland,2018,0.24,0.48
60885,Ireland,2019,0.24,0.48
60889,Ireland,2020,0.24,0.48
60893,Ireland,2021,0.27,0.54
60897,Ireland,2022,0.28,0.56
63973,Italy,2007,0.16,0.32
63976,Italy,2008,0.16,0.32
63980,Italy,2009,0.2,0.4
63984,Italy,2010,0.2,0.4
63988,Italy,2011,0.2,0.4
63992,Italy,2012,0.21,0.42
63996,Italy,2013,0.28,0.56
64000,Italy,2014,0.3,0.6
64004,Italy,2015,0.3,0.6
64008,Italy,2016,0.3,0.6
64012,Italy,2017,0.3,0.6
64016,Italy,2018,0.3,0.6
64020,Italy,2019,0.35,0.7
64024,Italy,2020,0.36,0.72
64028,Italy,2021,0.36,0.72
64032,Italy,2022,0.36,0.72
66225,Lithuania,2007,0.23,0.46
66228,Lithuania,2008,0.23,0.46
66232,Lithuania,2009,0.18,0.36
66236,Lithuania,2010,0.19,0.38
66240,Lithuania,2011,0.19,0.38
66244,Lithuania,2012,0.19,0.38
66248,Lithuania,2013,0.25,0.5
66252,Lithuania,2014,0.24,0.48
66256,Lithuania,2015,0.24,0.48
66260,Lithuania,2016,0.24,0.48
66264,Lithuania,2017,0.21,0.42
66268,Lithuania,2018,0.21,0.42
66272,Lithuania,2019,0.22,0.44
66276,Lithuania,2020,0.24,0.48
66280,Lithuania,2021,0.27,0.54
66284,Lithuania,2022,0.28,0.56
67093,Luxembourg,2007,0.25,0.5
67096,Luxembourg,2008,0.25,0.5
67100,Luxembourg,2009,0.25,0.5
67104,Luxembourg,2010,0.2,0.4
67108,Luxembourg,2011,0.2,0.4
67112,Luxembourg,2012,0.23,0.46
67116,Luxembourg,2013,0.22,0.44
67120,Luxembourg,2014,0.28,0.56
67124,Luxembourg,2015,0.28,0.56
67128,Luxembourg,2016,0.28,0.56
67132,Luxembourg,2017,0.28,0.56
67136,Luxembourg,2018,0.27,0.54
67140,Luxembourg,2019,0.25,0.5
67144,Luxembourg,2020,0.32,0.64
67148,Luxembourg,2021,0.32,0.64
67152,Luxembourg,2022,0.35,0.7
67998,Latvia,2007,0.19,0.38
68001,Latvia,2008,0.2,0.4
68005,Latvia,2009,0.22,0.44
68009,Latvia,2010,0.22,0.44
68013,Latvia,2011,0.2,0.4
68017,Latvia,2012,0.23,0.46
68021,Latvia,2013,0.23,0.46
68025,Latvia,2014,0.25,0.5
68029,Latvia,2015,0.17,0.34
68033,Latvia,2016,0.15,0.3
68037,Latvia,2017,0.16,0.32
68041,Latvia,2018,0.16,0.32
68045,Latvia,2019,0.3,0.6
68049,Latvia,2020,0.3,0.6
68053,Latvia,2021,0.27,0.54
68057,Latvia,2022,0.27,0.54
69951,Malta,2007,0.09,0.18
69954,Malta,2008,0.09,0.18
69958,Malta,2009,0.09,0.18
69962,Malta,2010,0.09,0.18
69966,Malta,2011,0.09,0.18
69970,Malta,2012,0.09,0.18
69974,Malta,2013,0.12,0.24
69978,Malta,2014,0.14,0.28
69982,Malta,2015,0.13,0.26
69986,Malta,2016,0.13,0.26
69990,Malta,2017,0.13,0.26
69994,Malta,2018,0.15,0.3
69998,Malta,2019,0.15,0.3
70002,Malta,2020,0.13,0.26
70006,Malta,2021,0.13,0.26
70010,Malta,2022,0.15,0.3
70819,Netherlands,2007,0.35,0.7
70822,Netherlands,2008,0.37,0.74
70826,Netherlands,2009,0.39,0.78
70830,Netherlands,2010,0.39,0.78
70834,Netherlands,2011,0.37,0.74
70838,Netherlands,2012,0.39,0.78
70842,Netherlands,2013,0.37,0.74
70846,Netherlands,2014,0.38,0.76
70850,Netherlands,2015,0.37,0.74
70854,Netherlands,2016,0.37,0.74
70858,Netherlands,2017,0.37,0.74
70862,Netherlands,2018,0.36,0.72
70866,Netherlands,2019,0.34,0.68
70870,Netherlands,2020,0.35,0.7
70874,Netherlands,2021,0.37,0.74
70878,Netherlands,2022,0.37,0.74
73203,Poland,2007,0.18,0.36
73206,Poland,2008,0.19,0.38
73210,Poland,2009,0.18,0.36
73214,Poland,2010,0.18,0.36
73218,Poland,2011,0.18,0.36
73222,Poland,2012,0.22,0.44
73226,Poland,2013,0.22,0.44
73230,Poland,2014,0.22,0.44
73234,Poland,2015,0.23,0.46
73238,Poland,2016,0.25,0.5
73242,Poland,2017,0.26,0.52
73246,Poland,2018,0.26,0.52
73250,Poland,2019,0.26,0.52
73254,Poland,2020,0.28,0.56
73258,Poland,2021,0.27,0.54
73262,Poland,2022,0.28,0.56
74503,Portugal,2007,0.26,0.52
74506,Portugal,2008,0.29,0.58
74510,Portugal,2009,0.3,0.6
74514,Portugal,2010,0.3,0.6
74518,Portugal,2011,0.3,0.6
74522,Portugal,2012,0.28,0.56
74526,Portugal,2013,0.3,0.6
74530,Portugal,2014,0.32,0.64
74534,Portugal,2015,0.31,0.62
74538,Portugal,2016,0.35,0.7
74542,Portugal,2017,0.34,0.68
74546,Portugal,2018,0.35,0.7
74550,Portugal,2019,0.36,0.72
74554,Portugal,2020,0.4,0.8
74558,Portugal,2021,0.4,0.8
74562,Portugal,2022,0.4,0.8
75408,Romania,2007,0.1,0.2
75411,Romania,2008,0.09,0.18
75415,Romania,2009,0.1,0.2
75419,Romania,2010,0.1,0.2
75423,Romania,2011,0.1,0.2
75427,Romania,2012,0.09,0.18
75431,Romania,2013,0.12,0.24
75435,Romania,2014,0.12,0.24
75439,Romania,2015,0.12,0.24
75443,Romania,2016,0.12,0.24
75447,Romania,2017,0.18,0.36
75451,Romania,2018,0.19,0.38
75455,Romania,2019,0.2,0.4
75459,Romania,2020,0.2,0.4
75463,Romania,2021,0.2,0.4
75467,Romania,2022,0.2,0.4
77461,Sweden,2007,0.48,0.96
77464,Sweden,2008,0.47,0.94
77468,Sweden,2009,0.48,0.96
77472,Sweden,2010,0.47,0.94
77476,Sweden,2011,0.46,0.92
77480,Sweden,2012,0.45,0.9
77484,Sweden,2013,0.43,0.86
77488,Sweden,2014,0.43,0.86
77492,Sweden,2015,0.44,0.88
77496,Sweden,2016,0.45,0.9
77500,Sweden,2017,0.46,0.92
77504,Sweden,2018,0.45,0.9
77508,Sweden,2019,0.46,0.92
77512,Sweden,2020,0.48,0.96
77516,Sweden,2021,0.48,0.96
77520,Sweden,2022,0.46,0.92
78366,Slovenia,2007,0.12,0.24
78369,Slovenia,2008,0.09,0.18
78373,Slovenia,2009,0.11,0.22
78377,Slovenia,2010,0.11,0.22
78381,Slovenia,2011,0.12,0.24
78385,Slovenia,2012,0.25,0.5
78389,Slovenia,2013,0.27,0.54
78393,Slovenia,2014,0.25,0.5
78397,Slovenia,2015,0.28,0.56
78401,Slovenia,2016,0.26,0.52
78405,Slovenia,2017,0.27,0.54
78409,Slovenia,2018,0.28,0.56
78413,Slovenia,2019,0.22,0.44
78417,Slovenia,2020,0.22,0.44
78421,Slovenia,2021,0.22,0.44
78425,Slovenia,2022,0.23,0.46
79716,Slovakia,2007,0.2,0.4
79719,Slovakia,2008,0.19,0.38
79723,Slovakia,2009,0.19,0.38
79727,Slovakia,2010,0.18,0.36
79731,Slovakia,2011,0.16,0.32
79735,Slovakia,2012,0.16,0.32
79739,Slovakia,2013,0.19,0.38
79743,Slovakia,2014,0.19,0.38
79747,Slovakia,2015,0.2,0.4
79751,Slovakia,2016,0.19,0.38
79755,Slovakia,2017,0.21,0.42
79759,Slovakia,2018,0.21,0.42
79763,Slovakia,2019,0.21,0.42
79767,Slovakia,2020,0.21,0.42
79771,Slovakia,2021,0.23,0.46
79775,Slovakia,2022,0.21,0.42
