DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2020,25.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2021,23.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2012,26.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2013,24.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2014,26.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2015,25.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2016,25.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2017,24.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2018,22.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2019,21.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2020,21.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2021,22.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2012,35.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2013,35.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2014,35.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2015,33.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2016,32.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2017,31.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2018,28.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2019,29.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2020,29.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2021,27.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2012,23.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2013,22.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2014,17.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2015,21.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2016,19.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2017,20.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2018,22.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2019,18.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2020,23.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2021,25.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2012,14.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2013,14.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2014,13.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2015,15.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2016,16.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2017,13.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2018,16.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2019,11.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2020,2.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2021,9.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2012,40.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2013,36.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2014,34.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2015,32.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2016,26.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2017,31.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2018,28.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2019,24.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2020,29.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IE,2021,29.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2012,36.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2013,37.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2014,38.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2015,37.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2016,36.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2017,34.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2018,33.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2019,34.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2020,33.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,IT,2021,31.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2012,8.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2013,12.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2014,12.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2015,13.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2016,15.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2017,17.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2018,15.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2019,20.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2020,15.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LT,2021,11.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2012,46.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2013,46.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2014,41.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2015,36.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2016,42.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2017,41.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2018,42.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2019,44.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2020,40.5,b
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LU,2021,32.6,b
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2012,17.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2013,17.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2014,18.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2015,17.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2016,16.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2017,15.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2018,18.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2019,14.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2020,2.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,LV,2021,6.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2012,19.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2013,23.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2014,22.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2015,22.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2016,45.0,b
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2017,45.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2018,43.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2019,42.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2020,41.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,MT,2021,46.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2012,49.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2013,49.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2014,48.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2015,45.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2016,49.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2017,46.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2018,44.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2019,42.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2020,41.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,NL,2021,41.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2012,27.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2013,24.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2014,25.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2015,22.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2016,23.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2017,22.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2018,19.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2019,22.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2020,22.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PL,2021,21.0,p
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2012,38.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2013,36.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2014,30.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2015,29.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2016,27.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2017,31.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2018,26.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2019,25.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2020,23.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,PT,2021,20.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2012,28.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2013,27.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2014,33.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2015,63.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2016,24.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2017,24.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2018,25.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2019,21.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2020,22.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,RO,2021,21.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2012,29.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2013,26.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2014,28.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2015,27.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2016,26.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2017,24.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2018,26.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2019,26.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2020,27.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SE,2021,24.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SI,2012,20.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SI,2013,16.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SI,2014,13.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SI,2015,14.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SI,2016,12.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,SI,2017,10.1,
